Title,Year,Duration,MPA,Rating,Votes,meta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
12. Captain America: Brave New World,2025,1h 58m,PG-13,5.6,185K,42.0,"Sam Wilson, the new Captain America, finds himself in the middle of an international incident and must discover the motive behind a nefarious global plan.",https://www.imdb.com/title/tt14513804/?ref_=sr_i_12,"['Rob Edwards', 'Malcolm Spellman', 'Dalan Musson']",['Julius Onah'],"['Anthony Mackie', 'Harrison Ford', 'Danny Ramirez', 'Shira Haas', 'Carl Lumbly', 'Tim Blake Nelson', 'Giancarlo Esposito', 'Liv Tyler', 'Xosha Roquemore', 'Jóhannes Haukur Jóhannesson']","$180,000,000 (estimated)","$88,842,603","$415,101,577","$200,500,001","February 14, 2025","['United States', 'Canada']","['Oaxaca, Mexico']","['Marvel Studios', 'British Columbia Film Commission']","Awards, 2 wins & 17 nominations total","['Marvel', 'Action Epic', 'Adventure Epic', 'Epic', 'Sci-Fi Epic', 'Superhero', 'Action', 'Adventure', 'Sci-Fi']","['English', 'Spanish', 'Japanese']"
13. Mission: Impossible - The Final Reckoning,2025,2h 49m,PG-13,7.1,235K,67.0,"Hunt and the IMF pursue a dangerous AI called the Entity that's infiltrated global intelligence. With governments and a figure from his past in pursuit, Hunt races to stop it from forever changing the world.",https://www.imdb.com/title/tt9603208/?ref_=sr_i_13,"['Bruce Geller', 'Christopher McQuarrie', 'Erik Jendresen']",['Christopher McQuarrie'],"['Tom Cruise', 'Hayley Atwell', 'Ving Rhames', 'Simon Pegg', 'Esai Morales', 'Pom Klementieff', 'Henry Czerny', 'Holt McCallany', 'Janet McTeer', 'Nick Offerman']","$350,000,000 (estimated)","$64,036,428","$598,767,057","$197,413,515","May 23, 2025","['United States', 'Norway', 'Canada']","['Aurland, Vestland, Norway']","['Paramount Pictures', 'Skydance Media', 'TC Productions']","Awards, 40 wins & 43 nominations total","['Mission: Impossible', 'Action Epic', 'Adventure Epic', 'Spy', 'Action', 'Adventure', 'Thriller']","['English', 'French', 'Russian', 'Inuktitut']"
14. Thunderbolts*,2025,2h 7m,PG-13,7.1,287K,68.0,"After finding themselves ensnared in a death trap, an unconventional team of antiheroes must go on a dangerous mission that will force them to confront the darkest corners of their pasts.",https://www.imdb.com/title/tt20969586/?ref_=sr_i_14,"['Eric Pearson', 'Joanna Calo', 'Kurt Busiek']",['Jake Schreier'],"['Florence Pugh', 'Sebastian Stan', 'Julia Louis-Dreyfus', 'Lewis Pullman', 'David Harbour', 'Wyatt Russell', 'Hannah John-Kamen', 'Olga Kurylenko', 'Geraldine Viswanathan', 'Wendell Pierce']","$180,000,000 (estimated)","$74,300,608","$382,436,917","$190,274,328","May 2, 2025","['United States', 'Australia', 'Canada']","['Merdeka 118, Kuala Lumpur, Malaysia (jumping from the tower scene)']",['Marvel Studios'],"Awards, 4 wins & 30 nominations total","['Marvel', 'Action Epic', 'Adventure Epic', 'Dark Comedy', 'Epic', 'Political Drama', 'Psychological Drama', 'Sci-Fi Epic', 'Superhero', 'Action']","['English', 'Russian', 'Italian']"
15. F1: The Movie,2025,2h 35m,PG-13,7.6,374K,68.0,A Formula One driver comes out of retirement to mentor and team up with a younger driver.,https://www.imdb.com/title/tt16311594/?ref_=sr_i_15,"['Joseph Kosinski', 'Ehren Kruger']",['Joseph Kosinski'],"['Brad Pitt', 'Damson Idris', 'Javier Bardem', 'Kerry Condon', 'Tobias Menzies', 'Kim Bodnia', 'Sarah Niles', 'Will Merrick', 'Joseph Balderrama', 'Abdul Salis']","$200,000,000 (estimated)","$57,001,667","$634,142,436","$189,642,436","June 27, 2025",['United States'],"['Hungaroring, Budapest, Hungary (race track scenes)']","['Apple Original Films', 'Monolith Pictures (III)', 'Jerry Bruckheimer Films']","Won 1 Oscar, 34 wins & 132 nominations total","['Car Action', 'Motorsport', 'Drama', 'Sport']","['English', 'Spanish', 'German', 'Italian']"
16. The Conjuring: Last Rites,2025,2h 15m,R,6.2,105K,54.0,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,https://www.imdb.com/title/tt22898462/?ref_=sr_i_16,"['Ian Goldberg', 'Richard Naing', 'David Leslie Johnson-McGoldrick']",['Michael Chaves'],"['Patrick Wilson', 'Vera Farmiga', 'Mia Tomlinson', 'Ben Hardy', 'Steve Coulter', 'Rebecca Calder', 'Elliot Cowan', 'Beau Gadsdon', 'Kíla Lord Cassidy', 'John Brotherton']","$55,000,000 (estimated)","$84,006,121","$499,256,445","$177,756,445","September 5, 2025","['Canada', 'United States']","['Knebworth, Hertfordshire, England, UK (scenes filmed in Knebworth park)']","['New Line Cinema', 'Domain Entertainment (II)', 'The Safran Company']","Awards, 1 nomination total","['The Conjuring Universe', 'Body Horror', 'Folk Horror', 'Monster Horror', 'Psychological Horror', 'Supernatural Horror', 'Horror', 'Mystery', 'Thriller']","['English', 'Latin']"
17. Weapons,2025,2h 8m,R,7.4,378K,81.0,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",https://www.imdb.com/title/tt26581740/?ref_=sr_i_17,['Zach Cregger'],['Zach Cregger'],"['Julia Garner', 'Josh Brolin', 'Alden Ehrenreich', 'Scarlett Sher', 'Cary Christopher', 'Jason Turner', 'Benedict Wong', 'Anny Jules', 'Ali Burch', 'Michael Gene Conti']","$38,000,000 (estimated)","$43,501,217","$270,072,492","$151,572,492","August 8, 2025",['United States'],"['Atlanta, Georgia, USA (location)']","['New Line Cinema', 'Domain Entertainment (II)', 'Subconscious']","Won 1 Oscar, 63 wins & 126 nominations total","['Dark Comedy', 'Folk Horror', 'Psychological Horror', 'Supernatural Horror', 'Witch Horror', 'Horror', 'Mystery']",['English']
18. Final Destination: Bloodlines,2025,1h 50m,R,6.7,167K,73.0,"Plagued by a recurring violent nightmare, a college student returns home to find the one person who can break the cycle and save her family from the horrific fate that inevitably awaits them.",https://www.imdb.com/title/tt9619824/?ref_=sr_i_18,"['Guy Busick', 'Lori Evans Taylor', 'Jon Watts']","['Zach Lipovsky', 'Adam B. Stein']","['Kaitlyn Santa Juana', 'Teo Briones', 'Rya Kihlstedt', 'Richard Harmon', 'Owen Patrick Joyner', 'Anna Lore', 'Alex Zahara', 'April Telek', 'Tinpo Lee', 'Tony Todd']","$50,000,000 (estimated)","$51,600,106","$317,854,739","$138,254,739","May 16, 2025",['United States'],"['Vancouver, British Columbia, Canada']","['New Line Cinema', 'Domain Entertainment (II)', 'Practical Pictures']","Awards, 4 wins & 15 nominations total","['Dark Comedy', 'Splatter Horror', 'Supernatural Horror', 'Teen Horror', 'Horror', 'Thriller']",['English']
19. Demon Slayer: Kimetsu No Yaiba Infinity Castle,2025,2h 35m,R,8.4,75K,67.0,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",https://www.imdb.com/title/tt32820897/?ref_=sr_i_19,"['Koyoharu Gotouge', 'Hikaru Kondô']","['Hikaru Kondô', 'Haruo Sotozaki']","['Zach Aguilar', 'Saeko Akiho', 'Yôhei Azakami', 'Ryan Bartley', 'Johnny Yong Bosch', 'Kira Buckland', 'Griffin Burns', 'Christine Marie Cabanos', 'Nobutoshi Canna', 'Brook Chalmers']","$20,000,000 (estimated)","$70,611,098","$793,593,024","$136,950,340","September 12, 2025","['Japan', 'United States']","['Shinjuku, Tokyo, Japan (Studio)']","['Aniplex', 'Crunchyroll', 'Shueisha']","Awards, 12 wins & 9 nominations total","['Japanese', 'Adult Animation', 'Anime', 'Dark Fantasy', 'Hand-Drawn Animation', 'Shōnen', 'Supernatural Fantasy', 'Sword & Sorcery', 'Action', 'Adventure']",['Japanese']
20. Five Nights at Freddy's 2,2025,1h 44m,PG-13,5.1,43K,26.0,"One year after the supernatural nightmare at Freddy Fazbear's Pizza, Abby runs away to reconnect with her animatronic friends, uncovering dark secrets about the true origins of Freddy's and unleashing a horror hidden for decades.",https://www.imdb.com/title/tt30274401/?ref_=sr_i_20,['Scott Cawthon'],['Emma Tammi'],"['Josh Hutcherson', 'Piper Rubio', 'Elizabeth Lail', 'Matthew Lillard', 'Freddy Carter', 'Wayne Knight', 'Mckenna Grace', 'David Andrew Calvillo', 'Teo Briones', 'Audrey Lynn-Marie']","$51,000,000 (estimated)","$64,007,430","$238,569,800","$127,730,290","December 5, 2025","['United States', 'Canada']","['New Orleans, Louisiana, USA']","['Universal Pictures', 'Blumhouse Productions', 'Scott Cawthon Productions']","Awards, 2 nominations total","['Supernatural Horror', 'Horror', 'Mystery', 'Thriller']",['English']
21. The Housemaid,2025,2h 11m,R,6.7,172K,65.0,"Millie a struggling young woman becomes live in maid for a wealthy couple Nina and Andrew. She enters a mansion of secrets, manipulation, and escalating psychological games that pull her into a dangerous relationship dynamic.",https://www.imdb.com/title/tt27543632/?ref_=sr_i_21,"['Rebecca Sonnenshine', 'Freida McFadden']",['Paul Feig'],"['Sydney Sweeney', 'Amanda Seyfried', 'Brandon Sklenar', 'Peter Colandro', 'Don DiPetta', 'Lamar Baucom-Slaughter', 'Michele Morrone', 'Indiana Elle', 'Sarah Cooper', 'Kathy Costa McKeown']","$35,000,000 (estimated)","$19,010,430","$400,530,884","$126,432,462","December 19, 2025",['United States'],"['Saint Elizabeth University, Morristown, New Jersey, USA']","['Lionsgate', 'Media Capital Technologies', 'Hidden Pictures']","Awards, 1 win & 11 nominations total","['Erotic Thriller', 'Psychological Drama', 'Psychological Thriller', 'Suspense Mystery', 'Drama', 'Mystery', 'Thriller']","['English', 'Italian']"
22. Dog Man,2025,1h 29m,PG,6.3,14K,66.0,"After a policeman and his police dog are fused together to turn into Dog Man, he must stop the villainous Petey the Cat from cloning himself and creating an evil kitten, doubling his evil abilities.",https://www.imdb.com/title/tt10954718/?ref_=sr_i_22,"['Peter Hastings', 'Dav Pilkey']",['Peter Hastings'],"['Pete Davidson', 'Poppy Liu', 'Lil Rel Howery', 'Isla Fisher', 'Billy Boyd', 'Rahnuma Panthaky', 'Maggie Wheeler', 'Peter Hastings', 'Luenell', 'Melissa Villaseñor']","$40,000,000 (estimated)","$36,001,940","$146,076,772","$97,970,355","January 31, 2025",['United States'],,"['DreamWorks Animation', 'Dentsu']","Awards, 1 win & 7 nominations total","['Animal Adventure', 'Computer Animation', 'Quirky Comedy', 'Superhero', 'Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family']",['English']
23. Marty Supreme,2025,2h 29m,R,7.6,198K,89.0,"Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.",https://www.imdb.com/title/tt32916440/?ref_=sr_i_23,"['Ronald Bronstein', 'Josh Safdie']",['Josh Safdie'],"['Timothée Chalamet', 'Gwyneth Paltrow', ""Odessa A'zion"", ""Larry 'Ratso' Sloman"", 'Mariann Tepedino', 'Ralph Colucci', 'Devorah Shubowitz', 'Tyler the Creator', 'George Gervin', 'Luke Manley']","$65,000,000 (estimated)","$863,097","$191,886,340","$96,040,064","December 25, 2025","['United States', 'Finland']","['Hancock, New York, USA']","['A24', 'Central Group', 'Central Pictures']","Nominated for 9 Oscars, 43 wins & 298 nominations total","['Dark Comedy', 'Epic', 'Period Drama', 'Psychological Drama', 'Comedy', 'Drama', 'Sport']","['English', 'Japanese', 'French', 'Bosnian']"
24. Freakier Friday,2025,1h 50m,PG,6.2,40K,60.0,"22 years after Tess and Anna endured an identity crisis, Anna now has a daughter and a soon-to-be stepdaughter. As they navigate the challenges that come when two families merge, Tess and Anna discover that lightning might strike twice.",https://www.imdb.com/title/tt31956415/?ref_=sr_i_24,"['Jordan Weiss', 'Elyse Hollander', 'Mary Rodgers']",['Nisha Ganatra'],"['Jamie Lee Curtis', 'Lindsay Lohan', 'Julia Butters', 'Sophia Hammons', 'Mark Harmon', 'Manny Jacinto', 'Maitreyi Ramakrishnan', 'Christina Vidal', 'Haley Hudson', 'Chad Michael Murray']","$42,000,000 (estimated)","$28,583,167","$153,176,952","$94,186,236","August 8, 2025",['United States'],"['Los Angeles, California, USA']","['Walt Disney Pictures', 'Gunn Films', 'Burr! Productions']","Awards, 4 nominations total","['Body Swap Comedy', 'Comedy', 'Family', 'Fantasy']",['English']
25. Predator: Badlands,2025,1h 47m,PG-13,7.2,160K,71.0,A young Predator outcast from his clan finds an unlikely ally on his journey in search of the ultimate adversary.,https://www.imdb.com/title/tt31227572/?ref_=sr_i_25,"['Patrick Aison', 'Dan Trachtenberg', 'Jim Thomas']",['Dan Trachtenberg'],"['Elle Fanning', 'Dimitrius Schuster-Koloamatangi', 'Ravi Narayan', 'Chris Terhune', 'Michael Homik', 'Stefan Grube', 'Reuben de Jong', 'Cameron Brown', 'Alison Wright', 'Matt Duffer']","$105,000,000 (estimated)","$40,016,853","$184,561,056","$91,083,631","November 7, 2025","['United States', 'Australia', 'New Zealand', 'Canada', 'Germany']","['Rotorua, New Zealand']","['20th Century Studios', 'Davis Entertainment', 'Toberoff Productions']","Awards, 5 wins & 25 nominations total","['Predator', 'Action Epic', 'Adventure Epic', 'Alien Invasion', 'Sci-Fi Epic', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']",['English']
26. Snow White,2025,1h 49m,PG,2.2,397K,50.0,A princess joins forces with seven dwarfs and a group of rebels to liberate her kingdom from her cruel stepmother the Evil Queen.,https://www.imdb.com/title/tt6208148/?ref_=sr_i_26,"['Erin Cressida Wilson', 'Jacob Grimm', 'Wilhelm Grimm']",['Marc Webb'],"['Rachel Zegler', 'Emilia Faucher', 'Gal Gadot', 'Andrew Burnap', 'Andrew Barth Feldman', 'Tituss Burgess', 'Martin Klebba', 'Jason Kravits', 'George Salazar', 'Jeremy Swift']","$250,000,000 (estimated)","$42,206,415","$205,679,463","$87,203,963","March 21, 2025",['United States'],"['Pinewood Studios, Iver Heath, Buckinghamshire, England, UK']","['Walt Disney Pictures', 'Marc Platt Productions']","Awards, 2 wins & 9 nominations total","['Fairy Tale', 'Feel-Good Romance', 'Adventure', 'Family', 'Fantasy', 'Musical', 'Romance']","['English', 'Italian', 'Turkish']"
27. The Bad Guys 2,2025,1h 44m,PG,7.0,30K,64.0,"The Bad Guys are struggling to find trust and acceptance in their newly minted lives as Good Guys, when they are pulled out of retirement and forced to do ""one last job"" by an all-female squad of criminals.",https://www.imdb.com/title/tt30017619/?ref_=sr_i_27,"['Yoni Brenner', 'Etan Cohen', 'Aaron Blabey']","['Pierre Perifel', 'JP Sans']","['Sam Rockwell', 'Marc Maron', 'Awkwafina', 'Joey Naber', 'Omid Djalili', 'Monia Ayachi', 'Jaylen Moore', 'Craig Robinson', 'Anthony Batarse', 'Anthony Ramos']","$80,000,000 (estimated)","$21,995,715","$239,753,615","$82,593,605","August 1, 2025",['United States'],,"['Universal Pictures', 'DreamWorks Animation', 'Scholastic Entertainment']","Awards, 3 wins & 22 nominations total","['Animal Adventure', 'Car Action', 'Computer Animation', 'Heist', 'Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family']",['English']
28. David,2025,1h 49m,PG,6.8,6.7K,55.0,"From his mother's songs to his clash with Goliath, David's journey from humble shepherd to anointed king tests the limits of faith, courage, and love--culminating in a battle for the soul of a kingdom.",https://www.imdb.com/title/tt15678738/?ref_=sr_i_28,"['Brent Dawes', 'Kyle Portbury', 'Sam Wilson']","['Phil Cunningham', 'Brent Dawes']","['Brandon Engman', 'Brian Stivale', 'Shahar Tavoch', 'Aaron Tavaler', 'Hector', 'Miri Mesika', 'Jack Wagman', 'Jonathan Shaboo', 'Sloan Lucas Muldown', 'Mike Ciporkin']",,"$22,000,555","$88,344,394","$80,382,774","December 19, 2025","['South Africa', 'United States']",,"['2521 Entertainment', 'Angel', 'Slingshot Productions']","Awards, 1 nomination total","['Computer Animation', 'Adventure', 'Animation', 'Drama', 'Family', 'Musical']",['English']
29. Black Phone 2,2025,1h 54m,R,6.0,66K,61.0,"As Finn, now 17, struggles with life after his captivity, his sister begins receiving calls in her dreams from the black phone and seeing disturbing visions of three boys being stalked at a winter camp known as Alpine Lake.",https://www.imdb.com/title/tt29644189/?ref_=sr_i_29,"['Joe Hill', 'Scott Derrickson', 'C. Robert Cargill']",['Scott Derrickson'],"['Ethan Hawke', 'Mason Thames', 'Madeleine McGraw', 'Demián Bichir', 'Miguel Mora', 'Jeremy Davies', 'Arianna Rivas', 'Maev Beaty', 'Graham Abbey', 'James Ransone']","$30,000,000 (estimated)","$27,332,040","$132,248,152","$77,378,880","October 17, 2025","['United States', 'Canada']","['Toronto, Ontario, Canada']","['Blumhouse Productions', 'Crooked Highway', 'Divide/Conquer']","Awards, 8 nominations total","['Psychological Horror', 'Supernatural Horror', 'Horror']","['English', 'Spanish']"
