Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
30. The Exiles,1961,1h 12m,Not Rated,6.6,1.4K,,Follows a family of Native Americans living in the City of Angels.,https://www.imdb.com/title/tt0054861/?ref_=sr_i_30
31. Il posto,1961,1h 33m,Not Rated,7.9,7K,,"Bursting with big dreams and plans, an Italian teen goes to Milan to work in a big impersonal corporate office, where he becomes disillusioned and drained of all his individualism.",https://www.imdb.com/title/tt0055320/?ref_=sr_i_31
32. Breakfast at Tiffany's,1961,1h 55m,Approved,7.6,196K,,"A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way.",https://www.imdb.com/title/tt0054698/?ref_=sr_i_32
33. A Majority of One,1961,2h 36m,Approved,6.7,1.3K,,"A gentle love story about a Japanese businessman and widower, and a Brooklyn widow. But before a happy ending can ensue, they must learn again the lessons of tolerance, kindness, and forgiveness.",https://www.imdb.com/title/tt0055124/?ref_=sr_i_33
34. Judgment at Nuremberg,1961,2h 59m,Approved,8.3,88K,,"Fictionalized depiction of the 1947 Judges' Trial, the third of twelve trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their actions.",https://www.imdb.com/title/tt0055031/?ref_=sr_i_34
35. The Parent Trap,1961,2h 9m,G,7.2,25K,,Teenage twin sisters swap places and scheme to reunite their divorced parents.,https://www.imdb.com/title/tt0055277/?ref_=sr_i_35
36. Bridge to the Sun,1961,1h 53m,Approved,7.1,945,,"Based on a true story, this compelling drama relates the difficulties of a young woman married to a Japanese diplomat during World War II, victim of suspicion and animosity from her husband's government.",https://www.imdb.com/title/tt0054701/?ref_=sr_i_36
37. Yojimbo,1961,1h 50m,Not Rated,8.2,135K,,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,https://www.imdb.com/title/tt0055630/?ref_=sr_i_37
38. Viridiana,1961,1h 31m,Not Rated,8.1,27K,,"Viridiana, a young nun about to take her final vows, pays a visit to her widowed uncle at the request of her Mother Superior.",https://www.imdb.com/title/tt0055601/?ref_=sr_i_38
39. I Promised to Pay,1961,1h 34m,,7.0,978,,"A gang plans to steal a factory's wages, but an armored van foils them. They rob anyway, killing the driver. His vengeful wife and encroaching police make the gang betray each other.",https://www.imdb.com/title/tt0055283/?ref_=sr_i_39
40. A Raisin in the Sun,1961,2h 8m,Approved,8.0,9.9K,,A substantial insurance payment could mean either financial salvation or personal ruin for a poor black family.,https://www.imdb.com/title/tt0055353/?ref_=sr_i_40
"41. One, Two, Three",1961,1h 44m,Approved,7.9,23K,,"In West Berlin during the Cold War, a Coca-Cola executive is given the task of taking care of his boss' socialite daughter.",https://www.imdb.com/title/tt0055256/?ref_=sr_i_41
42. The Children's Hour,1961,1h 48m,Approved,7.8,19K,,A rebellious student at a girls' school accuses two teachers of lesbianism.,https://www.imdb.com/title/tt0054743/?ref_=sr_i_42
43. The Curse of the Werewolf,1961,1h 33m,Approved,6.5,7.3K,,"In eighteenth-century Spain, an adopted boy becomes a werewolf and terrorizes the inhabitants of his town.",https://www.imdb.com/title/tt0054777/?ref_=sr_i_43
44. Mysterious Island,1961,1h 41m,Approved,6.7,8.8K,,"During the Civil War a group of Union soldiers, a Confederate and a civilian escape the stockade using a hot-air balloon and end up on a strange Pacific island.",https://www.imdb.com/title/tt0055207/?ref_=sr_i_44
45. The Comancheros,1961,1h 47m,Approved,6.8,10K,,"Texas Ranger Jake Cutter arrests gambler Paul Regret, but soon finds himself teamed with his prisoner in an undercover effort to defeat a band of renegade arms merchants and thieves dealing with the Comanches known as Comancheros.",https://www.imdb.com/title/tt0054757/?ref_=sr_i_45
46. Blast of Silence,1961,1h 17m,Approved,7.4,5.9K,,"A hired killer from Cleveland has a job to do on a second-string mob boss in New York, but a special girl from his past and a gun dealer with pet rats get in his way.",https://www.imdb.com/title/tt0054687/?ref_=sr_i_46
47. Gorgo,1961,1h 18m,Approved,5.6,4.4K,,"Greedy sailors capture a giant lizard off the coast of Ireland and sell it to a London circus, inciting the wrath of the creature's much-larger mother.",https://www.imdb.com/title/tt0054938/?ref_=sr_i_47
48. The Phantom Planet,1961,1h 22m,Unrated,3.8,3.4K,,"After an invisible asteroid draws an astronaut and his ship to its surface, he is miniaturized by the phantom planet's exotic atmosphere.",https://www.imdb.com/title/tt0055294/?ref_=sr_i_48
49. Nude on the Moon,1961,1h 23m,Unrated,3.8,1.4K,,"A rich rocket scientist organizes an expedition to the moon, which they discover is inhabited by nude women.",https://www.imdb.com/title/tt0056293/?ref_=sr_i_49
50. Two Rode Together,1961,1h 49m,Approved,6.7,7.1K,,"A corrupt marshal is pressured by his army friend into negotiating the release of white captives of the Comanches, but finds that their reintegration into society has its consequences.",https://www.imdb.com/title/tt0055558/?ref_=sr_i_50
51. The Day the Earth Caught Fire,1961,1h 39m,Unrated,7.2,6.5K,,"When the U.S. and Russia unwittingly test atomic bombs at the same time, it alters the nutation (axis of rotation) of the Earth.",https://www.imdb.com/title/tt0054790/?ref_=sr_i_51
52. The Roman Spring of Mrs. Stone,1961,1h 43m,Approved,6.4,3.1K,,"An aging actress travels to Rome with her husband; after he suddenly dies during the flight, she begins a passionate affair with a young gigolo.",https://www.imdb.com/title/tt0055382/?ref_=sr_i_52
53. Through a Glass Darkly,1961,1h 30m,Not Rated,7.9,28K,,"Recently released from a mental hospital, Karin rejoins her emotionally disconnected family in their island home, only to slip from reality as she begins to believe she is being visited by God.",https://www.imdb.com/title/tt0055499/?ref_=sr_i_53
54. Divorce Italian Style,1961,1h 45m,Approved,7.9,15K,,"A married Sicilian baron falls in love with his cousin and vows to wed her, but with divorce illegal he must concoct a crime of passion to do away with his wife.",https://www.imdb.com/title/tt0055913/?ref_=sr_i_54
55. Whistle Down the Wind,1961,1h 39m,Unrated,7.6,3.9K,,"When an injured wife murderer takes refuge on a remote Lancashire farm, the owner's three children mistakenly believe him to be the Second Coming of Christ.",https://www.imdb.com/title/tt0055618/?ref_=sr_i_55
56. A Taste of Honey,1961,1h 41m,Approved,7.4,6.5K,,"A pregnant teenage girl must fend for herself when her mother remarries, leaving the girl with only a new male friend for support.",https://www.imdb.com/title/tt0055506/?ref_=sr_i_56
57. The Colossus of Rhodes,1961,2h 7m,Approved,5.8,4.4K,,"While holidaying in Rhodes, an Athenian war hero becomes involved in two plots to overthrow the tyrannical king: one from Rhodian patriots, and the other from sinister Phoenician agents.",https://www.imdb.com/title/tt0054756/?ref_=sr_i_57
58. Black Gravel,1961,1h 53m,,7.4,302,,"A West German trucker who illegally sells black gravel reunites with a former lover, now married to an American.",https://www.imdb.com/title/tt0055418/?ref_=sr_i_58
59. Voyage to the Bottom of the Sea,1961,1h 45m,PG,6.0,6.8K,,"When the Earth is threatened by a burning Van Allen Radiation Belt, U.S. Navy Admiral Harriman Nelson plans to shoot a nuclear missile at the Belt, using his experimental atomic submarine, the Seaview.",https://www.imdb.com/title/tt0055608/?ref_=sr_i_59
60. Look in Any Window,1961,1h 27m,,5.4,367,,A teenager's parents finally realize how bad their home life is when their son is arrested for prowling.,https://www.imdb.com/title/tt0055097/?ref_=sr_i_60
61. Hand in Hand,1961,1h 18m,Approved,7.4,598,,A little Roman Catholic boy and a little Jewish girl become best friends despite the prejudice that surrounds them.,https://www.imdb.com/title/tt0053889/?ref_=sr_i_61
62. Mothra,1961,1h 41m,Approved,6.6,5.6K,,"An expedition to Infant Island uncovers a native tribe and twin tiny fairy priestesses of a mythical deity, who sets out to rescue the pair after they are kidnapped by a greedy businessman.",https://www.imdb.com/title/tt0055198/?ref_=sr_i_62
63. Accattone,1961,1h 57m,Not Rated,7.6,10K,,A pimp with no other means to provide for himself finds his life spiraling out of control when his prostitute is sent to prison.,https://www.imdb.com/title/tt0054599/?ref_=sr_i_63
64. Lola,1961,1h 30m,Not Rated,7.4,7.9K,,"A bored young man meets with his former girlfriend, now a cabaret dancer and single mother, and soon finds himself falling back in love with her.",https://www.imdb.com/title/tt0055093/?ref_=sr_i_64
65. Homicidal,1961,1h 28m,Unrated,6.8,3.9K,,The brutal stabbing murder of a justice-of-the-peace sparks an investigation of dark family secrets in a sleepy small town in Southern California.,https://www.imdb.com/title/tt0054988/?ref_=sr_i_65
66. Reptilicus,1961,1h 22m,Approved,3.6,4.5K,,"After copper miners discover a piece of the frozen tail of a giant prehistoric reptile in Lapland, scientists inadvertently bring it back to life.",https://www.imdb.com/title/tt0056405/?ref_=sr_i_66
67. Cash on Demand,1961,1h 29m,Approved,7.5,3.1K,,"A charming but ruthless criminal holds the family of a bank manager hostage as part of a cold-blooded plan to steal 97,000 pounds.",https://www.imdb.com/title/tt0054731/?ref_=sr_i_67
68. Night Tide,1961,1h 26m,Not Rated,6.4,4.3K,,"A young sailor is attracted to a mysterious mermaid performing at a carnival, but soon suspects that the girl is actually a siren who draws men to their watery deaths during the full moon.",https://www.imdb.com/title/tt0055230/?ref_=sr_i_68
69. The Human Condition III: A Soldier's Prayer,1961,3h 10m,Not Rated,8.8,7.7K,,"His ideals challenged by life as a conscript in war-time Japan's military, a pacifist faces ever greater tests in his fight for survival.",https://www.imdb.com/title/tt0055233/?ref_=sr_i_69
70. The Devil at 4 O'Clock,1961,2h 6m,Approved,6.4,2.7K,,"A crusty, eccentric priest recruits three reluctant convicts to help him rescue a children's leper colony from a Pacific island menaced by a smoldering volcano.",https://www.imdb.com/title/tt0054805/?ref_=sr_i_70
71. The Mask,1961,1h 23m,Approved,5.8,1.1K,,"A young archaeologist thinks he is cursed by an Aztec mask that makes him have strange nightmares. Before committing suicide, he sends the mask to his psychiatrist, who soon plunges into the mask's nightmarish world.",https://www.imdb.com/title/tt0055151/?ref_=sr_i_71
72. Girl with a Suitcase,1961,1h 36m,,7.4,2.5K,,"A girl pursues a guy who fooled her, but fascinates his younger brother instead.",https://www.imdb.com/title/tt0054225/?ref_=sr_i_72
73. Back Street,1961,1h 47m,Approved,6.6,1.3K,,"In Lincoln, the ambitious aspirant-designer Rae Smith has an incident with a wolf department store businessman and is rescued by the Marine Paul Saxon. They immediately fall in love with each other and spend the night together. On the next morning, Paul needs to return to Chicago and calls Rae to go with him. However she misses the plane and Paul travels alone. Soon she learns that he is married with children and she is convinced by her sister to move to New York where she succeeds in the fashion world. Paul, who owns a department store chain, stumbles upon her on the street and their love is rekindled. However, Rae decides to leave New York and her boss and partner convinces her to open a store in Rome. Some time later, they meet each other again and Rae learn that Paul is indeed unhappily married with the alcoholic Liz Saxon. They have a love affair and Paul buys a country house at the countryside of France where they spend their leisure time together. But their lives shatter when Paul's son discovers their love affair.",https://www.imdb.com/title/tt0054653/?ref_=sr_i_73
74. Murder She Said,1961,1h 27m,Approved,7.3,8.8K,,"When Miss Jane Marple reports witnessing a murder through the window of a passing train, the police dismiss her as a dotty spinster when no trace of the crime can be found.",https://www.imdb.com/title/tt0055205/?ref_=sr_i_74
75. Victim,1961,1h 40m,Not Rated,7.7,7.5K,,A closeted lawyer risks his career to bring a blackmailer to justice.,https://www.imdb.com/title/tt0055597/?ref_=sr_i_75
76. Naked As Nature Intended,1961,1h,,4.2,163,,Three girls on a tour of the English countryside meet up with two young women who introduce them to the joys of life in a nudist camp.,https://www.imdb.com/title/tt0055216/?ref_=sr_i_76
77. Something Wild,1961,1h 53m,Not Rated,6.7,1.8K,,"A young rape victim tries desperately to pick up the pieces of her life, only to find herself at the mercy of a would-be rescuer.",https://www.imdb.com/title/tt0055464/?ref_=sr_i_77
78. Scream of Fear,1961,1h 21m,Approved,7.4,5.8K,,"A wheelchair-bound young woman returns to her father's estate after 10 years, and although she's told he's away, she keeps seeing his dead body on the estate.",https://www.imdb.com/title/tt0055505/?ref_=sr_i_78
79. Mother Joan of the Angels,1961,1h 50m,,7.5,4.5K,,A priest is sent to a small parish in the Polish countryside which is believed to be under demonic possession and there he finds his own temptations awaiting.,https://www.imdb.com/title/tt0055153/?ref_=sr_i_79
80. Diary of a Nudist,1961,1h 12m,,4.2,578,,"Newspaper editor Arthur Sherwood is on a hunting trip when he accidentally stumbles upon a nudist camp in the woods. He is very much shocked by this and decides to send reporter Stacy Taylor to the camp so she can write an expose on the camp and have it shut down. However, much to her surprise, Stacy finds that she enjoys the nudist lifestyle and writes some very positive articles on her experiences, which doesn't sit well with Arthur. Arthur then decides to join the camp himself and writes his own story.",https://www.imdb.com/title/tt0054809/?ref_=sr_i_80
81. Flight That Disappeared,1961,1h 11m,Approved,5.7,917,,"A cross-country airliner, whose passengers include a nuclear physicist, a rocket expert, and a mathematical genius, is drawn beyond radar range by an unknown, unbreakable force.",https://www.imdb.com/title/tt0054881/?ref_=sr_i_81
82. Hercules in the Haunted World,1961,1h 24m,G,6.1,2.5K,,Hercules must journey into Hades itself to retrieve the magic stone that will free his love from the powers of darkness.,https://www.imdb.com/title/tt0054850/?ref_=sr_i_82
83. Hercules and the Captive Women,1961,1h 34m,Unrated,4.4,1.7K,,Strong yet sleepy Hercules discovers that the Queen of Atlantis is plotting to take over the world with superhuman warriors.,https://www.imdb.com/title/tt0054851/?ref_=sr_i_83
84. Bachelor in Paradise,1961,1h 49m,Not Rated,6.3,1.9K,,"A bachelor author of sleazy books moves to a family-oriented subdivision where he becomes an unofficial relationship advisor to unhappy local housewives, to the dismay of their respective husbands who suspect him of sexual misconduct.",https://www.imdb.com/title/tt0054652/?ref_=sr_i_84
85. Valley of the Dragons,1961,1h 22m,Approved,4.9,799,,"In 1881, in Algeria, Michael Denning and Hector Servadac are fighting a duel when a comet brushing Earth takes the two men to the Moon where they discover a prehistoric civilization.",https://www.imdb.com/title/tt0055583/?ref_=sr_i_85
86. The Young Savages,1961,1h 43m,Not Rated,6.9,3K,,A district attorney investigates three white teenagers accused of murdering a blind Puerto Rican kid.,https://www.imdb.com/title/tt0055633/?ref_=sr_i_86
87. Mr. Sardonicus,1961,1h 29m,Approved,6.6,3.8K,,"A mysterious and cruel Baron, whose face has become frozen in a horrifying grin, demands that a prominent London physician apply experimental treatments on him to restore his face.",https://www.imdb.com/title/tt0055200/?ref_=sr_i_87
88. Town Without Pity,1961,1h 45m,Approved,7.2,2K,,"Four American soldiers stationed near a German village face death in the rape of a local girl, and are defended by outside counsel Major Steve Garrett.",https://www.imdb.com/title/tt0055539/?ref_=sr_i_88
89. The Thief of Baghdad,1961,1h 40m,Approved,6.3,703,,"In the time of the Arabian Nights, the city of Baghdad is ruled by Sultan Ali Bajazeth but actually controlled by the scheming Grand Vizier Ghamal. The poor of Baghdad are aided by Karim, the Thief of Baghdad.",https://www.imdb.com/title/tt0054013/?ref_=sr_i_89
90. Walk the Angry Beach,1961,1h 14m,,2.0,654,,"A young girl comes to Hollywood to try to break into the movies, but winds up being taken advantage of by sleazy producers, and is forced to become a stripper.",https://www.imdb.com/title/tt0055612/?ref_=sr_i_90
91. The Deadly Companions,1961,1h 33m,Approved,6.1,2.9K,,An ex-army officer accidentally kills a woman's son and tries to make up for it by escorting the funeral procession through dangerous Indian territory.,https://www.imdb.com/title/tt0054795/?ref_=sr_i_91
92. Carry on Regardless,1961,1h 30m,Not Rated,6.0,2.6K,,The Helping Hands agency employs some very strange people to perform some very strange jobs. Even the simplest of tasks get bungled by the incompetent but lovable staff.,https://www.imdb.com/title/tt0054727/?ref_=sr_i_92
93. Return to Peyton Place,1961,2h 3m,Approved,5.9,1K,,"The residents of Peyton Place are not happy when its most famous resident, Alison Mackenzie, writes a ""shocking"" novel detailing the sinful secrets of the town.",https://www.imdb.com/title/tt0055370/?ref_=sr_i_93
94. Wild in the Country,1961,1h 54m,Approved,6.3,2.1K,,A troubled young man discovers that he has a knack for writing when a counselor encourages him to pursue a literary career.,https://www.imdb.com/title/tt0055623/?ref_=sr_i_94
95. X-15,1961,1h 47m,,5.5,782,,During the Cold War in the 1960s the U.S.A.F. and NASA tested the experimental rocket-powered aircraft X-15 that set altitude and speed records and reached the edge of outer space.,https://www.imdb.com/title/tt0055627/?ref_=sr_i_95
96. Underworld U.S.A.,1961,1h 39m,Not Rated,7.3,4.1K,,A teenager who witnesses the murder of his father vows to exact revenge on the four mobsters involved in the killing.,https://www.imdb.com/title/tt0055571/?ref_=sr_i_96
97. Chronicle of a Summer,1961,1h 25m,Not Rated,7.5,3.7K,,"A documentary about the everyday lives of ordinary Parisians, done in the style of cinéma vérité.",https://www.imdb.com/title/tt0054745/?ref_=sr_i_97
98. Duel of the Titans,1961,1h 29m,Not Rated,5.8,1K,,Twin brothers revolt against tyranny in pre-Roman Italy and then come to a parting of the ways as they lead their people toward the founding of a new city.,https://www.imdb.com/title/tt0057460/?ref_=sr_i_98
99. Placido,1961,1h 25m,,7.8,3.9K,,"An ill-advised charity campaign, encouraging wealthy citizens to break bread with the less fortunate, sweeps across a small industrial Spanish town on Christmas Eve.",https://www.imdb.com/title/tt0055310/?ref_=sr_i_99
100. Loss of Innocence,1961,1h 39m,Approved,6.7,610,,"Teenage Joss Grey vacations in France with her family. Her mother falls ill, leaving her in the care of a hotel manager having an affair with a charming older man towards whom Joss develops an attraction, transitioning from girl to woman.",https://www.imdb.com/title/tt0055098/?ref_=sr_i_100
101. Tammy Tell Me True,1961,1h 37m,Approved,6.4,934,,A wholesome river girl floats her boat to college and meets a professor who finds her charming.,https://www.imdb.com/title/tt0055503/?ref_=sr_i_101
102. The Steamroller and the Violin,1961,46m,,7.4,7.3K,,"Seven-year-old Sasha practices violin every day to satisfy the ambition of his parents. Already withdrawn as a result of his routines, Sasha quickly regains confidence when he accidentally meets and befriends worker Sergei, who works on a steamroller in their upscale Moscow neighborhood.",https://www.imdb.com/title/tt0053987/?ref_=sr_i_102
103. Dead Eyes of London,1961,1h 44m,Not Rated,6.4,1.4K,,"Wealthy, heavily-insured men are being murdered at an alarming rate. Scotland Yard investigates and finds clues that lead to a ring of blind men, led by a mysterious ""reverend.""",https://www.imdb.com/title/tt0054395/?ref_=sr_i_103
104. Master of the World,1961,1h 42m,Approved,5.8,3.6K,,"In 1868, an American scientist and his team become hostages of fanatical pacifist Robur who uses his airship Albatross to destroy military targets on Earth.",https://www.imdb.com/title/tt0055152/?ref_=sr_i_104
105. Havoc in Heaven,1961,1h 54m,Not Rated,8.0,2.5K,,"Sun Wukong, the King of the Monkeys, sets off on his first adventure to gain a worthy weapon. This earns the attention of the Jade Emperor of Heaven.",https://www.imdb.com/title/tt0059855/?ref_=sr_i_105
106. Summer and Smoke,1961,1h 58m,Approved,6.8,2.1K,,"A plain, repressed spinster falls for a dashing young medical student who prefers the wilder life, until it's too late.",https://www.imdb.com/title/tt0055489/?ref_=sr_i_106
107. Madame,1961,1h 38m,,6.0,472,,"Catherine, a laundress, joins lover Lefevre in war. Their heroics help Napoleon win. As a reward, they're granted nobility. Catherine's lack of courtly etiquette shocks high society, but she remains authentic despite her new rank.",https://www.imdb.com/title/tt0056208/?ref_=sr_i_107
108. The Naked Edge,1961,1h 37m,Approved,6.6,1.6K,,"Five years after George Radcliffe was the chief witness in a high profile murder case, his wife receives a blackmailing letter accusing him of the crime.",https://www.imdb.com/title/tt0055214/?ref_=sr_i_108
109. The Ladies Man,1961,1h 35m,Approved,6.3,4.8K,,"A clueless, recently-single graduate unwittingly takes a job as a servant in a mansion inhabited by dozens of young women.",https://www.imdb.com/title/tt0055069/?ref_=sr_i_109
110. Amphibian Man,1961,1h 36m,Not Rated,6.9,2.9K,,"People living in a seaside town are frightened by reports about an unknown creature in the ocean. Nobody knows what it is, but it's really the son of Doctor Salvator. The doctor performed surgery on his son and now young Ichtiandr can live underwater. This gives him certain advantages, but creates a lot of problems.",https://www.imdb.com/title/tt0055844/?ref_=sr_i_110
111. The Explosive Generation,1961,1h 29m,TV-PG,6.3,442,,A high-school teacher gets into trouble when he tries to teach a sex-education class.,https://www.imdb.com/title/tt0054862/?ref_=sr_i_111
112. The Shadow of the Cat,1961,1h 19m,Approved,6.3,1.7K,,"A house cat sees her mistress murdered by two servants under orders from her husband , and becomes ferociously bent on revenge.",https://www.imdb.com/title/tt0055438/?ref_=sr_i_112
113. The Beast of Yucca Flats,1961,54m,Unrated,1.9,11K,,A defecting Soviet scientist is hit by a nuclear explosion near Yucca Flats and roams around as a beast.,https://www.imdb.com/title/tt0054673/?ref_=sr_i_113
114. The Naked Witch,1961,59m,R,3.2,602,,A student researching the German settlements of Central Texas unearths the grave of a reputed witch. The witch rises from her grave nude and embarks on a campaign of seduction and murder against the descendants of her persecutors.,https://www.imdb.com/title/tt0054111/?ref_=sr_i_114
115. Creature from the Haunted Sea,1961,1h 3m,Unrated,3.4,3.4K,,A crook decides to bump off members of his inept crew and blame their deaths on a legendary sea creature. What he doesn't know is that the creature is real.,https://www.imdb.com/title/tt0054768/?ref_=sr_i_115
116. Gidget Goes Hawaiian,1961,1h 41m,Not Rated,5.7,1.3K,,"Gidget, on vacation in Hawaii, finds a gang of lads vying for her attention, starting a chain of romantic complications when her boyfriend arrives.",https://www.imdb.com/title/tt0054923/?ref_=sr_i_116
